#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181007,-14.8617,0.00475471
JT0695,1,20181007,-16.9268,0.00549932
JT0695,2,20181007,-15.207,0.00493321
JT0695,3,20181007,-16.1492,0.00523572
JT0695,4,20181007,-15.7551,0.00512588
JT0695,5,20181007,-14.721,0.00475601
JT0695,6,20181007,-14.4262,0.00463538
JT0695,7,20181007,-14.5034,0.00465451
JT0695,8,20181007,-14.4623,0.00460287
JT0695,9,20181007,-15.9227,0.00498086
JT0695,10,20181007,-13.3636,0.00425419
JT0695,11,20181007,-13.4594,0.00428192
JT0695,12,20181007,-14.6449,0.00461678
JT0695,13,20181007,-11.0541,0.00349827
JT0695,14,20181007,-14.3765,0.00455621
JT0695,15,20181007,-15.0639,0.00476893
JT0695,16,20181007,-15.9378,0.0049876
