#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20180918,-15.1117,0.00483124
JT0695,1,20180918,-17.3836,0.00563981
JT0695,2,20180918,-16.161,0.00523578
JT0695,3,20180918,-16.3414,0.0052951
JT0695,4,20180918,-15.825,0.00511459
JT0695,5,20180918,-15.4766,0.00499193
JT0695,6,20180918,-14.4953,0.00465055
JT0695,7,20180918,-14.5084,0.0046509
JT0695,8,20180918,-14.8688,0.00474338
JT0695,9,20180918,-15.9919,0.00498314
JT0695,10,20180918,-13.1759,0.00417211
JT0695,11,20180918,-13.4341,0.00427417
JT0695,12,20180918,-14.5717,0.00458993
JT0695,13,20180918,-11.4587,0.00365353
JT0695,14,20180918,-14.9528,0.00474929
JT0695,15,20180918,-15.2872,0.00485709
JT0695,16,20180918,-16.0211,0.00501183
