#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181005,-14.8963,0.00476334
JT0695,1,20181005,-16.9705,0.00550681
JT0695,2,20181005,-15.5353,0.00503505
JT0695,3,20181005,-16.4997,0.00534727
JT0695,4,20181005,-15.3586,0.00497959
JT0695,5,20181005,-15.0196,0.00484292
JT0695,6,20181005,-14.884,0.00477627
JT0695,7,20181005,-14.609,0.00468157
JT0695,8,20181005,-14.2057,0.00452527
JT0695,9,20181005,-15.4732,0.00482766
JT0695,10,20181005,-13.1192,0.00416688
JT0695,11,20181005,-13.2483,0.00421636
JT0695,12,20181005,-14.5277,0.00457442
JT0695,13,20181005,-11.328,0.00359785
JT0695,14,20181005,-14.2326,0.0045174
JT0695,15,20181005,-15.3073,0.00485741
JT0695,16,20181005,-16.182,0.00507649
