#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181005,-14.8353,0.0047441
JT0695,1,20181005,-17.3908,0.00563894
JT0695,2,20181005,-15.2905,0.00495363
JT0695,3,20181005,-15.7072,0.00509258
JT0695,4,20181005,-15.551,0.00504028
JT0695,5,20181005,-14.9506,0.00482182
JT0695,6,20181005,-14.5003,0.00465245
JT0695,7,20181005,-14.6872,0.00471155
JT0695,8,20181005,-14.2548,0.00454602
JT0695,9,20181005,-15.831,0.00494765
JT0695,10,20181005,-12.589,0.00399859
JT0695,11,20181005,-13.3659,0.00425813
JT0695,12,20181005,-14.7643,0.00464673
JT0695,13,20181005,-11.5479,0.00367247
JT0695,14,20181005,-14.2377,0.00451617
JT0695,15,20181005,-15.0165,0.00476108
JT0695,16,20181005,-16.1674,0.00507064
