#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181005,-14.9361,0.00477259
JT0695,1,20181005,-16.7869,0.00544837
JT0695,2,20181005,-15.4979,0.00502114
JT0695,3,20181005,-16.2527,0.00526428
JT0695,4,20181005,-15.8601,0.00514467
JT0695,5,20181005,-15.2118,0.00490136
JT0695,6,20181005,-14.4314,0.00462807
JT0695,7,20181005,-15.1318,0.0048472
JT0695,8,20181005,-14.1681,0.00450749
JT0695,9,20181005,-15.546,0.00485163
JT0695,10,20181005,-12.5339,0.00397916
JT0695,11,20181005,-13.2208,0.00420321
JT0695,12,20181005,-14.6537,0.00461293
JT0695,13,20181005,-11.2573,0.00356353
JT0695,14,20181005,-14.6461,0.0046414
JT0695,15,20181005,-15.4813,0.00490186
JT0695,16,20181005,-16.4208,0.00514271
