#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181006,-14.9368,0.00478129
JT0695,1,20181006,-16.9659,0.00550872
JT0695,2,20181006,-15.526,0.00503722
JT0695,3,20181006,-16.4892,0.00533963
JT0695,4,20181006,-15.5876,0.00507334
JT0695,5,20181006,-14.942,0.0048259
JT0695,6,20181006,-14.3529,0.00461058
JT0695,7,20181006,-14.4603,0.0046429
JT0695,8,20181006,-14.6371,0.00466411
JT0695,9,20181006,-16.2784,0.00510062
JT0695,10,20181006,-12.8977,0.00410304
JT0695,11,20181006,-13.3871,0.00426669
JT0695,12,20181006,-14.9524,0.00471248
JT0695,13,20181006,-11.204,0.00355739
JT0695,14,20181006,-14.491,0.00460138
JT0695,15,20181006,-15.207,0.0048234
JT0695,16,20181006,-16.0302,0.00502936
