#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181006,-14.875,0.00474702
JT0695,1,20181006,-16.6027,0.00538102
JT0695,2,20181006,-16.0078,0.00517352
JT0695,3,20181006,-16.2888,0.00527071
JT0695,4,20181006,-15.599,0.0050448
JT0695,5,20181006,-14.7555,0.00474812
JT0695,6,20181006,-14.3634,0.00459989
JT0695,7,20181006,-14.2957,0.00457167
JT0695,8,20181006,-14.5648,0.00463184
JT0695,9,20181006,-15.9566,0.00497932
JT0695,10,20181006,-12.6998,0.00402434
JT0695,11,20181006,-13.0342,0.00414414
JT0695,12,20181006,-14.6788,0.00461106
JT0695,13,20181006,-11.1825,0.00354156
JT0695,14,20181006,-14.6909,0.00465279
JT0695,15,20181006,-15.6804,0.00496906
JT0695,16,20181006,-16.0634,0.00502167
