#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181007,-14.8126,0.00472981
JT0695,1,20181007,-17.156,0.00555614
JT0695,2,20181007,-15.6608,0.00506787
JT0695,3,20181007,-15.6319,0.00506571
JT0695,4,20181007,-15.5047,0.00502153
JT0695,5,20181007,-15.0674,0.00485312
JT0695,6,20181007,-14.3981,0.00461258
JT0695,7,20181007,-14.5374,0.00465454
JT0695,8,20181007,-13.9476,0.00443733
JT0695,9,20181007,-15.6163,0.00487235
JT0695,10,20181007,-12.7655,0.00405002
JT0695,11,20181007,-13.2842,0.00422455
JT0695,12,20181007,-14.5974,0.00458648
JT0695,13,20181007,-11.3903,0.00361239
JT0695,14,20181007,-14.2907,0.00452417
JT0695,15,20181007,-15.1197,0.00478816
JT0695,16,20181007,-16.4863,0.00515689
