#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181007,-14.9229,0.00478053
JT0695,1,20181007,-17.0985,0.00555525
JT0695,2,20181007,-15.6972,0.00509807
JT0695,3,20181007,-16.3504,0.00530683
JT0695,4,20181007,-15.4668,0.00504069
JT0695,5,20181007,-15.2603,0.00493129
JT0695,6,20181007,-14.2248,0.00457467
JT0695,7,20181007,-14.7862,0.00475048
JT0695,8,20181007,-14.4369,0.00460252
JT0695,9,20181007,-15.2855,0.00478404
JT0695,10,20181007,-12.8294,0.0040846
JT0695,11,20181007,-13.6129,0.00434153
JT0695,12,20181007,-14.2141,0.00448085
JT0695,13,20181007,-11.4858,0.00364752
JT0695,14,20181007,-14.4178,0.00457932
JT0695,15,20181007,-15.1395,0.0048013
JT0695,16,20181007,-16.3675,0.00513533
