#MCP-PMT ID,Ch No.,Date,Parameter1(b),Parameter2(a)
JT0695,0,20181004,-14.7223,0.00470362
JT0695,1,20181004,-16.1276,0.00523578
JT0695,2,20181004,-15.6148,0.00505623
JT0695,3,20181004,-16.0016,0.00517568
JT0695,4,20181004,-15.2856,0.00496111
JT0695,5,20181004,-14.5364,0.00468665
JT0695,6,20181004,-14.5299,0.0046592
JT0695,7,20181004,-14.3512,0.00460101
JT0695,8,20181004,-14.1456,0.00450491
JT0695,9,20181004,-15.2934,0.0047754
JT0695,10,20181004,-13.0935,0.0041534
JT0695,11,20181004,-13.4594,0.00427644
JT0695,12,20181004,-14.6786,0.00461602
JT0695,13,20181004,-11.1073,0.00351801
JT0695,14,20181004,-14.3648,0.0045522
JT0695,15,20181004,-15.5266,0.00491672
JT0695,16,20181004,-16.0151,0.00501758
